Id,Clause1,Clause2,Relation
1,說 ： 只要 拿 著 這根 權杖,您 就是 世界 之王 。,Contingency
2,你 可以 在 一 開始 簽訂合同 的 時候 對此 表示 異議,拒絕 簽字 。,Expansion
3,男人 在 選 這份 禮物 給 女友 或 太太 時,是 把 性幻想 當 附加值 一起 奉送 的 。,Expansion
4,我 跌跌撞撞 費力 地 走 著 攀著,心裡 不禁 也 窩 著火 。,Expansion
5,轉杯 可不 轉,也 可作 轉向 與 轉臂 相反 的 轉動 。,Expansion
6,五 、 如果 不 小心 染上 性病,必然 會 對 精子 的 數量 產生 不良影響 。,Contingency
7,企業 理念 - - - - - - - - - 以 最 優惠 的 價格,提供 更 高質量 的 絲綢 產品 系列 。,Expansion
8,它 吸引 了 許多 外國 學者 到 此 進行 考古 研究,也 是 洪都拉斯 境內 重要 的 旅游點 之一 。,Expansion
9,3 . 用 玻棒壓 舌根,然後 唾液 就 可以 源源不絕 的 流 出來 。,Temporal
10,受 攀枝花 地震 影響 一度 中斷 的 成昆鐵路,目前 已經 恢復 通車 。,Temporal
11,我 妹妹 也 保存 了,她 收集 每 一篇 寫 有 我 名字 的 文章 。,Expansion
12,” 然而 畢竟 時尚 關心 的 是 “ 此時此刻 ”,永遠 是 “ 今天 ” 而 不是 “ 昨天 ” 。,Expansion
13,的 產品 去污 能力 低,並會 刺激 皮膚 。,Expansion
14,情人 的 體貼 與 溫柔 小動作,想要 給予 也 嚮往 這樣 的 對待 。,Expansion
15,可是 我 把 一面 遮掩起來,讓 她 無法 看見 。,Contingency
16,如果 私車 拖運 造成 了 二次 損壞,保險公司 是 不予 理賠 的 。,Contingency
17,啊 不管 啦,反正 這 就是 能夠 吸引 男性 目光 的 娃娃臉 呀 ！,Comparison
18,不是 玩笑,更 不是 天方夜譚 。,Expansion
19,有 一位 勤勞勇敢 的 青年 與 一位 美麗 的 姑娘 相愛,但是 青年 的 多次 求婚 得不到 姑娘 的 允諾 。,Comparison
20,因為 缺少 寬容,我們 生活 的 陽光 常常 被 陰雲 籠罩 。,Contingency
21,“ 努力 不 一定 成功,但 放棄 一定 失敗 。,Comparison
22,由於 人種 混雜 、 膚色 各異,該城 素有 小 聯合國 之稱 。,Contingency
23,酒店 是 個 國際 著名 的 休閒式 連鎖店,整潔 而 舒服 。,Expansion
24,她 兒子 瘦高 挑,比 她 還 高 。,Comparison
25,★ 四忌 產後 恢復 時間 不足 6 個 月 受孕,以免 影響 體質 的 恢復 。,Contingency
26,咀嚼 的 速度 要 放慢,而且 要 讓 每個 牙齒 都 能 參與 進來 。,Expansion
27,科斯 泰羅 原先 在 IBM 公司 研發 搜尋 技術,也 是 史丹佛大 學 的 研究員 。,Expansion
28,目前 伊蘭特 1.6 L 手動 標準型 只要 8 萬多元,可謂 是 一款 真正 的 經濟型 中級車 。,Expansion
29,作用 ： 這 類 游戲 能 讓 孩子 獲得 一種 撐 控感,並 有助於 他 人們 交往 的 方式 。,Expansion
30,當 分離 後 再 見到 母親 時,對 母親 採取 迴避 態度 。,Temporal
31,我 說,“ 這是 為什麼 ？,Expansion
32,有 的 客人 甚至 只 需 出示 照片,店家 就 能 複製出 類似 的 款式 。,Expansion
33,但 馬特拉齊 將功補過 頭球 扳平,託 尼 此後 頭球 擊中 橫 樑 。,Temporal
34,人類 在 意外事故 面前 總是 脆弱不堪,而 交通事故 一直 高 居於 各種 意外事故 之 首 。,Expansion
35,研究 人員 每月 都 會 跟蹤 監測 對蝦 的 整體 生長,借助 軟件 還 可以 分析 相關 的 數據 。,Expansion
36,斯蒂文森 兩罰 一中 之後,火箭 暫停 。,Temporal
37,除了 正式 場合,只要 帶些 夏裝 足矣 。,Expansion
38,人 都 說 四川人 生活 極其 悠閒 安逸,此話 不假 。,Expansion
39,也 會 在 你 的 課本上 塗滿 膠水,座椅 上 撒 上 圖釘 。,Expansion
40,凡訓 蒙,須 講究 。,Expansion
41,真說 弗老大 有 什麼 傷病,顯然 都 是 託 詞 了 。,Expansion
42,恥骨 鬆弛 激素 能夠 幫助 你 放鬆 骨盆,讓 寶寶 更 容易 地 分娩 出來 。,Expansion
43,無論 什麼 時候 教練 喊 了 我 的 名字,我 就 能上場 。,Contingency
44,我 在 隨意 閒逛 之中,來到 另外 一處 市場 。,Expansion
45,SUV 的 熱,是 相對而言 的 。,Expansion
46,安又琪 ： 真的 嗎,他 說 什麼 ？,Expansion
47,現在 的 麵條機 用 對 滾式 刀具,一種 刀具 只能 切割 一種 寬度 的 麵條 。,Expansion
48,到達 上松 之後,沿著 森林 鐵道 前進 。,Temporal
49,嘿嘿,我 也 這麼 覺得 。,Expansion
50,” 副 領事 在 電腦 里 查找 著 文件,而後 笑 道 ： “ 你 對 。,Temporal
51,95 % 的 宮外孕 在 輸卵管,也 有 在 卵巢 和 腹腔 的 。,Expansion
52,這是 一項 高端 的 計算機 圖像處理 技術,其 發展 也 已 歷經 多年 。,Expansion
53,= v = 嗯,還有 坐在 我 後面 的 慶仔 同學 ~ ~ ！,Expansion
54,談到 操控 自然 得 從 發動機 說起,畢竟 這是 一輛車 的 動力 之源 。,Contingency
55,媽媽 說 ： “ 那好,明天 一早 我 考考你 。,Contingency
56,如果 您 喜歡 國際 在線 論壇,請 點擊 這裡 免費 註冊 成為 我們 的 新 用戶 ！,Contingency
57,於是,小 劉 、 小 樑 拿到 了 一等 獎學金 。,Expansion
58,考 此等 煞 皆 為 墓,鬼 從 墓 中來 之意 。,Expansion
59,我們 開始 有 矛盾,我 甚至 覺得 婚姻 正 遭遇 前所未有 的 危機 。,Expansion
60,原來 他們 已知 避免 近親結婚,難怪 在 村裡 沒 見到 一個 弱智 兒 或 痴獃 兒 。,Contingency
61,僅 2007 年,就 有 五百多萬 兒童 因此 失去 了 幼小 的 生命 。,Temporal
62,又 回 想起 剛 升高 中 不久,和 芭兒 討論 起初 中 與 高中 的 區別 。,Temporal
63,56 、 放 有 辣椒 的 菜 太辣時 或 炒 辣椒 時 加點 醋,辣味 大減 。,Contingency
64,有句 俗語 叫 知之者 不如 好之者,好之者 不如 樂之者 。,Expansion
65,從 以上 的 技術 數據 來看,風雲 2 將 很 可能 成為 奇瑞 旗雲 的 替代 車型 。,Expansion
66,不論 貧富,必食 西瓜 。,Expansion
67,這種 簡單 、 膚淺 的 認識 下,也 就 有 了 “ 賓利 ” 在 中國 的 神話 。,Contingency
68,說 實在,我 討厭 成雙成對 襪子 。,Expansion
69,* 您 的 好友 巫妹 最近 比較忙,沒有 更新 商品 。,Contingency
70,過去 那 是 盛產 香蕉 的 地方,有 “ 世界 香蕉 之 都 ” 的 美稱 。,Expansion
71,還有 那個 語文,英語 。,Expansion
