Id,Clause1,Clause2,Relation
1,說：只要拿著這根權杖,您就是世界之王。,Contingency
2,你可以在一開始簽訂合同的時候對此表示異議,拒絕簽字。,Expansion
3,男人在選這份禮物給女友或太太時,是把性幻想當附加值一起奉送的。,Expansion
4,我跌跌撞撞費力地走著攀著,心裡不禁也窩著火。,Expansion
5,轉杯可不轉,也可作轉向與轉臂相反的轉動。,Expansion
6,五、如果不小心染上性病,必然會對精子的數量產生不良影響。,Contingency
7,企業理念---------以最優惠的價格,提供更高質量的絲綢產品系列。,Expansion
8,它吸引了許多外國學者到此進行考古研究,也是洪都拉斯境內重要的旅遊點之一。,Expansion
9,3.用玻棒壓舌根,然後唾液就可以源源不絕的流出來。,Temporal
10,受攀枝花地震影響一度中斷的成昆鐵路,目前已經恢復通車。,Temporal
11,我妹妹也保存了,她收集每一篇寫有我名字的文章。,Expansion
12,”然而畢竟時尚關心的是“此時此刻”,永遠是“今天”而不是“昨天”。,Expansion
13,的產品去汙能力低,並會刺激皮膚。,Expansion
14,情人的體貼與溫柔小動作,想要給予也嚮往這樣的對待。,Expansion
15,可是我把一面遮掩起來,讓她無法看見。,Contingency
16,如果私車拖運造成了二次損壞,保險公司是不予理賠的。,Contingency
17,啊不管啦,反正這就是能夠吸引男性目光的娃娃臉呀！,Comparison
18,不是玩笑,更不是天方夜譚。,Expansion
19,有一位勤勞勇敢的青年與一位美麗的姑娘相愛,但是青年的多次求婚得不到姑娘的允諾。,Comparison
20,因為缺少寬容,我們生活的陽光常常被陰雲籠罩。,Contingency
21,“努力不一定成功,但放棄一定失敗。,Comparison
22,由於人種混雜、膚色各異,該城素有小聯合國之稱。,Contingency
23,酒店是個國際著名的休閒式連鎖店,整潔而舒服。,Expansion
24,她兒子瘦高挑,比她還高。,Comparison
25,★四忌產後恢復時間不足6個月受孕,以免影響體質的恢復。,Contingency
26,咀嚼的速度要放慢,而且要讓每個牙齒都能參與進來。,Expansion
27,科斯泰羅原先在IBM公司研發搜尋技術,也是史丹佛大學的研究員。,Expansion
28,目前伊蘭特1.6L手動標準型只要8萬多元,可謂是一款真正的經濟型中級車。,Expansion
29,作用：這類遊戲能讓孩子獲得一種撐控感,並有助於他人們交往的方式。,Expansion
30,當分離後再見到母親時,對母親採取迴避態度。,Temporal
31,我說,“這是為什麼？,Expansion
32,有的客人甚至只需出示照片,店家就能複製出類似的款式。,Expansion
33,但馬特拉齊將功補過頭球扳平,託尼此後頭球擊中橫樑。,Temporal
34,人類在意外事故面前總是脆弱不堪,而交通事故一直高居於各種意外事故之首。,Expansion
35,研究人員每月都會跟蹤監測對蝦的整體生長,藉助軟件還可以分析相關的數據。,Expansion
36,斯蒂文森兩罰一中之後,火箭暫停。,Temporal
37,除了正式場合,只要帶些夏裝足矣。,Expansion
38,人都說四川人生活極其悠閒安逸,此話不假。,Expansion
39,也會在你的課本上塗滿膠水,座椅上撒上圖釘。,Expansion
40,凡訓蒙,須講究。,Expansion
41,真說弗老大有什麼傷病,顯然都是託詞了。,Expansion
42,恥骨鬆弛激素能夠幫助你放鬆骨盆,讓寶寶更容易地分娩出來。,Expansion
43,無論什麼時候教練喊了我的名字,我就能上場。,Contingency
44,我在隨意閒逛之中,來到另外一處市場。,Expansion
45,SUV的熱,是相對而言的。,Expansion
46,安又琪：真的嗎,他說什麼？,Expansion
47,現在的麵條機用對滾式刀具,一種刀具只能切割一種寬度的麵條。,Expansion
48,到達上鬆之後,沿著森林鐵道前進。,Temporal
49,嘿嘿,我也這麼覺得。,Expansion
50,”副領事在電腦裡查找著文件,而後笑道：“你對。,Temporal
51,95%的宮外孕在輸卵管,也有在卵巢和腹腔的。,Expansion
52,這是一項高端的計算機圖像處理技術,其發展也已歷經多年。,Expansion
53,=v=嗯,還有坐在我後面的慶仔同學~~！,Expansion
54,談到操控自然得從發動機說起,畢竟這是一輛車的動力之源。,Contingency
55,媽媽說：“那好,明天一早我考考你。,Contingency
56,如果您喜歡國際在線論壇,請點擊這裡免費註冊成為我們的新用戶！,Contingency
57,於是,小劉、小樑拿到了一等獎學金。,Expansion
58,考此等煞皆為墓,鬼從墓中來之意。,Expansion
59,我們開始有矛盾,我甚至覺得婚姻正遭遇前所未有的危機。,Expansion
60,原來他們已知避免近親結婚,難怪在村裡沒見到一個弱智兒或痴呆兒。,Contingency
61,僅2007年,就有五百多萬兒童因此失去了幼小的生命。,Temporal
62,又回想起剛升高中不久,和芭兒討論起初中與高中的區別。,Temporal
63,56、放有辣椒的菜太辣時或炒辣椒時加點醋,辣味大減。,Contingency
64,有句俗語叫知之者不如好之者,好之者不如樂之者。,Expansion
65,從以上的技術數據來看,風雲2將很可能成為奇瑞旗雲的替代車型。,Expansion
66,不論貧富,必食西瓜。,Expansion
67,這種簡單、膚淺的認識下,也就有了“賓利”在中國的神話。,Contingency
68,說實在,我討厭成雙成對襪子。,Expansion
69,*您的好友巫妹最近比較忙,沒有更新商品。,Contingency
70,過去那是盛產香蕉的地方,有“世界香蕉之都”的美稱。,Expansion
71,還有那個語文,英語。,Expansion
72,兩場祭出最強陣容的比賽他們都輸了,其中還有一場是主場輸給東部墊底的巫師。,Expansion
73,首次加盟需要多少的啟動資金呢,就是說需要從貴公司購買多少錢的貨物呢？,Expansion
74,2001年曾一度降至3.59%,為歷史最低。,Expansion
75,於是往往出現妻子正漸入佳境時,丈夫卻已經偃旗息鼓深圳街美女的情況。,Comparison
76,作為一款豪華跨界車型,EX的豪華配置也不輸給任何一個競爭對手。,Expansion
77,現在想起來,真是好久沒有兩個人一起逛街了。,Expansion
78,12萬元級別的車型各異,適合的人群也更加廣泛。,Expansion
79,》：從參加比賽到現在,你生活中最大的變化是什麼？,Temporal
80,“我們已不僅僅生產小車,但小車仍是奇瑞重要的一個方面。,Comparison
81,這是一個務實冷靜的《宣言》,也是一個全球化思維的行動綱領。,Expansion
82,如果是在陸地的話,這種情況很有可能發生。,Contingency
83,隨即開溝作廂,廂寬1.3～1.5米為宜。,Expansion
84,從一開始就有一份清楚可行的時間表,保證你的義工能依照進度並及時完成。,Expansion
85,城西主要是工業區,有紡織、水泥和裝配加工等工廠。,Expansion
86,[摘要]一種工藝竹瓶,涉及木材或類似材料加工領域。,Expansion
87,這位業內人士說,二手車交易中陷阱非常多。,Expansion
88,同時要針對自己孩子的具體情況,進行耐心、細緻的教育訓練。,Expansion
89,結婚後,家庭生活也很好。,Temporal
90,（有鏈接的論文可查看全文,如有作者希望在此發表全文請與沈芸芸聯繫。,Expansion
91,上海各大4S店都沒有現車,預定須等1周時間。,Contingency
92,2.活動截止後官方會統計各個洞府的戰績,併為前5名的洞府發放扶持獎勵。,Expansion
93,古巴少女都有享受成年禮的權利,而15歲的少年男子沒有這項待遇。,Comparison
