Id,Clause1,Clause2,Relation
1,說|只要|拿|著|這根|權杖,您|就是|世界|之|王,Contingency
2,你|可以|在|一開|開始|簽訂|簽訂合同|訂合同|合同|的|時候|對此|表示|異議,拒絕|簽字,Expansion
3,男人|在|選|這份|禮物|給|女友|或|太太|時,是|把|性幻想|幻想|當|附加|附加值|加值|一起|奉送|的,Expansion
4,我|跌跌|跌跌撞撞|費力|地|走|著|攀著,心裡|不禁|也|窩|著火,Expansion
5,轉|杯|可不|轉,也|可作|轉向|與|轉|臂|相反|的|轉動,Expansion
6,五|如果|不小|小心|染上|性病,必然|會|對|精子|的|數量|量產|產生|不良|不良影響|影響,Contingency
7,企業|理念|以|最優|優惠|的|價格,提供|更|高質|高質量|質量|的|絲綢|產品|品系|系列,Expansion
8,它|吸引|了|許多|外國|國學|學者|到|此|進行|考古|研究,也|是|洪都|洪都拉斯|都拉斯|拉斯|境內|重要|的|旅游|旅游點|之一,Expansion
9,3|用|玻|棒|壓|舌根,然後|唾液|就|可以|源源|源源不絕|不絕|的|流出|出來,Temporal
10,受|攀枝|攀枝花|地震|影響|一度|中斷|的|成昆鐵路|鐵路,目前|已經|恢復|復通|通車,Temporal
11,我|妹妹|也|保存|了,她|收集|每|一篇|寫有|我|名字|的|文章,Expansion
12,然而|畢竟|時尚|關心|的|是|此時|此時此刻|此刻,永遠|是|今天|而|不是|昨天,Expansion
13,的|產品|去污|能力|低,並|會|刺激|皮膚,Expansion
14,情人|的|體貼|與|溫柔|小動|小動作|動作,想要|給予|也|嚮往|這樣|的|對待,Expansion
15,可是|我|把|一面|遮掩|遮掩起來|起來,讓|她|無法|看見,Contingency
16,如果|私車|拖運|造成|了|二次|損壞,保險|保險公司|公司|是|不予|理賠|的,Contingency
17,啊|不管|啦,反正|這|就是|能夠|吸引|男性|目光|的|娃娃|娃娃臉|呀,Comparison
18,不是|玩笑,更|不是|天方|天方夜|天方夜譚,Expansion
19,有|一位|勤勞|勤勞勇敢|勇敢|的|青年|與|一位|美麗|的|姑娘|相愛,但是|青年|的|多次|求婚|得不到|不到|姑娘|的|允諾,Comparison
20,因為|缺少|寬容,我們|生活|的|陽光|常常|被|陰雲|籠罩,Contingency
21,努力|不一|一定|成功,但|放棄|一定|失敗,Comparison
22,由於|人種|混雜|膚色|各異,該城|素有|小|聯合|聯合國|之|稱,Contingency
23,酒店|是|個|國際|著名|的|休|閒|式|連鎖|連鎖店,整潔|而|舒服,Expansion
24,她|兒子|瘦高|高挑,比|她|還|高,Comparison
25,四|忌|產後|恢復|時間|不足|6|個|月|受孕,以免|影響|體質|的|恢復,Contingency
26,咀嚼|的|速度|要|放慢,而且|要|讓|每個|牙齒|都|能|參與|進來,Expansion
27,科斯|泰羅|原先|先在|IBM|公司|研發|搜尋|技術,也|是|史丹佛大|丹佛|大學|的|研究|研究員,Expansion
28,目前|伊蘭|伊蘭特|蘭特|1|6L|手動|標準|標準型|只要|8|萬多|萬多元|多元,可謂|是|一款|真正|的|經濟|經濟型|中級|中級車,Expansion
29,作用|這類|游戲|能|讓|孩子|獲得|一種|撐|控|感,並|有助|有助於|助於|他人|人們|交往|的|方式,Expansion
30,當|分離|後|再見|見到|母親|時,對|母親|採取|取回|迴避|態度,Temporal
31,我|說,這|是|為什麼|什麼,Expansion
32,有|的|客人|甚至|只|需|出示|照片,店家|就|能|複製|複製出|制出|類似|似的|款式,Expansion
33,但|馬特拉|馬特拉齊|特拉|拉齊|將功補過|補過|過頭|頭球|扳平,託|尼|此後|後頭|頭球|擊中|橫|樑,Temporal
